,filename,SUM #line_changed
10602,openjpaslice/pom.xml,619.0
4130,.../openjpa/enhance/PCClassFileTransformer.java,618.0
1874,.../java/org/apache/openjpa/jdbc/kernel/XROP.java,615.0
1979,.../java/org/apache/openjpa/jdbc/sql/Result.java,614.0
450,.../apache/openjpa/kernel/OpenJPAStateManager.java,612.0
8020,.../persistence/test/PersistenceTestCase.java,611.0
7476,.../persistence/jdbc/meta/TestLRSProxies.java,610.0
4403,.../openjpa/kernel/VersionAttachStrategy.java,610.0
5580,.../openjpa/tools/util/CommandProcessor.java,610.0
6143,.../org/apache/openjpa/meta/ValueMetaDataImpl.java,605.0
2994,.../jdbc/meta/strats/ColumnVersionStrategy.java,604.0
10058,LICENSE.txt,604.0
425,.../apache/openjpa/jdbc/sql/SolidDBDictionary.java,604.0
9115,.../src/main/java/serp/bytecode/ConstantValue.java,602.0
2673,.../java/serp/bytecode/TableSwitchInstruction.java,602.0
7917,.../persistence/query/PredicateOperand.java,600.0
509,.../apache/openjpa/lib/jdbc/DataSourceLogs.java,595.0
4366,.../openjpa/jdbc/sql/FirebirdDictionary.java,595.0
8304,.../src/doc/manual/img/enhancement.graffle,593.0
1972,.../java/org/apache/openjpa/jdbc/sql/JoinSet.java,592.0
5919,.../org/apache/openjpa/jdbc/sql/MergedResult.java,592.0
6145,.../org/apache/openjpa/meta/XMLClassMetaData.java,592.0
4455,.../openjpa/lib/jdbc/DecoratingDataSource.java,591.0
10538,openjpaproject/BUILDING.txt,590.0
241,.../apache/openjpa/datacache/CacheStatistics.java,590.0
4128,.../openjpa/enhance/ManagedClassSubclasser.java,589.0
3002,.../jdbc/meta/strats/HandlerFieldStrategy.java,588.0
7717,.../persistence/lockmgr/TestPessimisticLocks.java,587.0
4503,.../openjpa/lib/util/concurrent/CondVar.java,586.0
10659,serp/src/main/java/serp/bytecode/Local.java,586.0
3766,.../main/java/org/apache/openjpa/util/Proxies.java,586.0
4356,.../openjpa/jdbc/schema/TableSchemaFactory.java,585.0
4471,.../openjpa/lib/meta/ZipFileMetaDataIterator.java,583.0
10672,serp/src/test/java/serp/bytecode/TestBCClass.java,582.0
1117,.../apache/openjpa/util/DelayedArrayListProxy.java,582.0
5428,.../openjpa/persistence/query/QueryDefinition.java,578.0
4106,.../openjpa/datacache/DelegatingDataCache.java,578.0
4412,.../openjpa/kernel/exps/ExpressionFactory.java,577.0
