bug_ref,commitID_1,commitID_2,filename,#line_changed
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/LogRoller.java,13
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../MetricsRegionServerWrapperImpl.java,6
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/RSDumpServlet.java,15
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/RSRpcServices.java,1985
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/RegionMergeTransaction.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/RegionServerServices.java,11
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/RpcSchedulerFactory.java,11
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/SimpleRpcSchedulerFactory.java,7
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/util/JVMClusterUtil.java,5
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../src/main/resources/hbasewebapps/master/zk.jsp,2
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../java/org/apache/hadoop/hbase/HBaseCluster.java,2
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/HBaseTestingUtility.java,32
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/MiniHBaseCluster.java,39
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/MockRegionServerServices.java,7
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/TestDrainingServer.java,1
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/TestGlobalMemStoreSize.java,26
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/TestNamespace.java,9
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/TestRegionRebalancing.java,12
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/TestZooKeeper.java,36
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/catalog/TestMetaReaderEditor.java,24
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/client/HConnectionTestingUtility.java,4
