,bug_ref,commitID_1,commitID_2,filename,#line_changed-hist,#line_changed-myers,#line_changed-min,#line_changed-pat
94,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/balancer/ClusterLoadState.java,13,13,13,13
95,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hadoop/hbase/client/HConnectionManager.java,13,13,13,13
96,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/TestZKBasedOpenCloseRegion.java,13,13,13,13
97,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/balancer/SimpleLoadBalancer.java,13,13,13,13
98,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/regionserver/CompactionTool.java,13,13,13,13
99,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/RSDumpServlet.java,15,15,15,15
100,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/master/BackupMasterStatusTmpl.jamon,16,16,16,16
101,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterStatusServlet.java,17,17,17,17
102,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/regionserver/RSStatusTmpl.jamon,18,18,18,18
103,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../procedure/MasterProcedureTestingUtility.java,19,19,19,19
104,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../master/cleaner/TestSnapshotFromMaster.java,19,19,19,19
105,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../org/apache/hadoop/hbase/master/HMaster.java,19,19,19,19
106,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../org/apache/hadoop/hbase/TableDescriptors.java,20,20,20,20
107,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/TestPriorityRpc.java,21,21,21,21
108,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,hbasecommon/src/main/resources/hbasedefault.xml,21,21,21,21
109,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/TestMasterMetrics.java,22,22,22,22
110,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/chaos/actions/Action.java,23,23,23,23
111,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/catalog/TestMetaReaderEditor.java,24,24,24,24
112,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hadoop/hbase/regionserver/HRegionServer.java,25,25,25,25
113,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/TestGlobalMemStoreSize.java,26,26,26,26
114,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../TestSplitTransactionOnCluster.java,26,26,26,26
115,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../AnnotationReadingPriorityFunction.java,27,27,27,27
116,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/master/TestCatalogJanitor.java,27,27,27,27
117,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,hbaseprotocol/src/main/protobuf/Master.proto,30,30,30,30
118,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../TestMasterRestartAfterDisablingTable.java,30,30,30,30
119,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/master/Mocking.java,30,30,30,30
120,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/client/ConnectionUtils.java,31,31,31,31
121,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/client/TestClientScannerRPCTimeout.java,31,31,31,31
122,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/ActiveMasterManager.java,31,29,29,31
123,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/SplitLogManager.java,31,31,31,31
124,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/HBaseTestingUtility.java,32,32,32,32
125,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../hadoop/hbase/master/TestMasterFailover.java,33,33,33,33
126,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../master/balancer/TestBaseLoadBalancer.java,34,34,34,34
127,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/coprocessor/TestMasterObserver.java,35,35,35,35
128,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/TestZooKeeper.java,36,36,36,36
129,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/client/CoprocessorHConnection.java,36,36,36,36
130,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../master/balancer/StochasticLoadBalancer.java,38,38,38,38
131,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/MiniHBaseCluster.java,39,39,39,39
132,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../hadoop/hbase/master/ActiveMasterManager.java,42,42,42,42
133,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../org/apache/hadoop/hbase/HTableDescriptor.java,44,44,44,44
134,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/ipc/RpcServer.java,47,47,47,47
135,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hadoop/hbase/procedure/ProcedureManager.java,48,48,48,48
136,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/client/TestAdmin.java,49,49,49,49
137,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/master/ServerManager.java,54,54,54,54
138,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../procedure/RegionServerProcedureManager.java,54,54,54,54
139,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../apache/hadoop/hbase/TestTableDescriptor.java,55,55,55,55
140,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../snapshot/TestFlushSnapshotFromClient.java,56,56,56,56
141,HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hbase/quotas/FixedIntervalRateLimiter.java,56,56,56,56
142,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/TestRegionServerNoMaster.java,56,56,56,56
143,HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hadoop/hbase/quotas/TimeBasedLimiter.java,58,58,58,58
144,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../hadoop/hbase/util/TestFSTableDescriptors.java,61,61,61,61
145,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../snapshot/RegionServerSnapshotManager.java,64,64,64,64
146,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../procedure/MasterProcedureManagerHost.java,64,64,64,64
147,HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hbase/quotas/AverageIntervalRateLimiter.java,65,65,65,65
148,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hbase/procedure/TestProcedureManager.java,66,66,66,66
149,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/TestMasterFailover.java,72,72,72,72
150,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../RegionServerProcedureManagerHost.java,75,75,75,75
151,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../org/apache/hadoop/hbase/master/HMaster.java,81,81,81,81
152,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../org/apache/hadoop/hbase/ClusterStatus.java,83,83,83,83
153,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hbase/procedure/MasterProcedureManager.java,87,87,87,87
154,HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../apache/hadoop/hbase/quotas/RateLimiter.java,103,97,97,99
155,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../org/apache/hadoop/hbase/client/HBaseAdmin.java,106,106,106,106
156,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,.../hbase/master/snapshot/SnapshotManager.java,109,109,109,109
157,HBASE-13686,587b0b4f20bdc0415b6541023e611b69c87dba15,9f43a3bea6,.../hadoop/hbase/quotas/TestRateLimiter.java,114,108,108,108
